央视频道,#genre#
山西卫视,https://cntv.sbs/v6?auth=2307280808&id=070
东南卫视,https://cntv.sbs/v6?auth=2307280808&id=201
贵州卫视,https://cntv.sbs/v6?auth=2307280808&id=184
辽宁卫视,https://cntv.sbs/v6?auth=2307280808&id=035
重庆卫视,https://cntv.sbs/v6?auth=2307280808&id=129
黑龙江卫视,https://cntv.sbs/v6?auth=2307280808&id=031
宁夏卫视,https://cntv.sbs/v6?auth=2307280808&id=074
陕西卫视,https://cntv.sbs/v6?auth=2307280808&id=067
甘肃卫视,https://cntv.sbs/v6?auth=2307280808&id=298
吉林卫视,https://cntv.sbs/v6?auth=2307280808&id=225
云南卫视,https://cntv.sbs/v6?auth=2307280808&id=223
三沙卫视,https://cntv.sbs/v6?auth=2307280808&id=185
青海卫视,https://cntv.sbs/v6?auth=2307280808&id=082
新疆卫视,https://cntv.sbs/v6?auth=2307280808&id=065
西藏卫视,https://cntv.sbs/v6?auth=2307280808&id=072
兵团卫视,https://cntv.sbs/v6?auth=2307280808&id=066
厦门卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?fmmv6

教育频道,#genre#
中国教育1台,https://cntv.sbs/v6?auth=2307280808&id=020
中国教育2台,https://cntv.sbs/v6?auth=2307280808&id=226
中国教育4台,https://cntv.sbs/v6?auth=2307280808&id=348

北京频道,#genre#
北京纪实科教,https://cntv.sbs/v6?auth=2307280808&id=231
卡酷少儿,https://cntv.sbs/v6?auth=2307280808&id=245

上海频道,#genre#
上海新闻综合,https://cntv.sbs/v6?auth=2307280808&id=014
上海都市,https://cntv.sbs/v6?auth=2307280808&id=015
上海ICS外语,https://cntv.sbs/v6?auth=2307280808&id=128
纪实人文,https://cntv.sbs/v6?auth=2307280808&id=019
生活时尚,https://cntv.sbs/v6?auth=2307280808&id=199
七彩戏剧,https://cntv.sbs/v6?auth=2307280808&id=308
第一财经,https://cntv.sbs/v6?auth=2307280808&id=017
上海教育,https://cntv.sbs/v6?auth=2307280808&id=268
五星体育,https://cntv.sbs/v6?auth=2307280808&id=018
东方影视,https://cntv.sbs/v6?auth=2307280808&id=016
东方财经,https://cntv.sbs/v6?auth=2307280808&id=318
欢笑剧场,https://cntv.sbs/v6?auth=2307280808&id=193
法治天地,https://cntv.sbs/v6?auth=2307280808&id=195
乐游,https://cntv.sbs/v6?auth=2307280808&id=200
都市剧场,https://cntv.sbs/v6?auth=2307280808&id=203
金色学堂,https://cntv.sbs/v6?auth=2307280808&id=194
哈哈炫动,https://cntv.sbs/v6?auth=2307280808&id=232
游戏风云,https://cntv.sbs/v6?auth=2307280808&id=192

浙江频道,#genre#
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

海南频道,#genre#
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?fmmv6
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?fmmv6
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?fmmv6

湖南频道,#genre#
金鹰纪实,https://cntv.sbs/v6?auth=2307280808&id=230
金鹰卡通,https://cntv.sbs/v6?auth=2307280808&id=098
茶友频道,https://cntv.sbs/v6?auth=2307280808&id=234
快乐垂钓,https://cntv.sbs/v6?auth=2307280808&id=235

广东频道,#genre#
嘉佳卡通,https://cntv.sbs/v6?auth=2307280808&id=227

其他频道,#genre#
家庭理财,https://cntv.sbs/v6?auth=2307280808&id=278
财富天下,https://cntv.sbs/v6?auth=2307280808&id=219
中国天气,https://cntv.sbs/v6?auth=2307280808&id=102
